"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-09","Prince Edward Island","2016A000211","Employment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063195","3.9.1.1.1.1","57.3","","","","1"
"2020-10","Prince Edward Island","2016A000211","Employment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063195","3.9.1.1.1.1","58.0","","","","1"
"2020-11","Prince Edward Island","2016A000211","Employment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063195","3.9.1.1.1.1","58.8","","","","1"
"2020-12","Prince Edward Island","2016A000211","Employment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063195","3.9.1.1.1.1","58.2","","","","1"
"2021-01","Prince Edward Island","2016A000211","Employment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063195","3.9.1.1.1.1","58.9","","","","1"
"2020-09","Nova Scotia","2016A000212","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063376","4.1.1.1.1.1","815.9","","","","1"
"2020-10","Nova Scotia","2016A000212","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063376","4.1.1.1.1.1","816.5","","","","1"
"2020-11","Nova Scotia","2016A000212","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063376","4.1.1.1.1.1","816.9","","","","1"
"2020-12","Nova Scotia","2016A000212","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063376","4.1.1.1.1.1","817.0","","","","1"
"2021-01","Nova Scotia","2016A000212","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063376","4.1.1.1.1.1","817.2","","","","1"
"2020-09","Nova Scotia","2016A000212","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063377","4.2.1.1.1.1","487.5","","","","1"
"2020-10","Nova Scotia","2016A000212","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063377","4.2.1.1.1.1","496.1","","","","1"
"2020-11","Nova Scotia","2016A000212","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063377","4.2.1.1.1.1","495.7","","","","1"
